id,type,data
243,2,"[[2703,1,0],[2704,0,0],[2705,-1,0],[2706,0,0],[2707,0,0],[2708,0,0],[2709,0,0],[2710,1,0],[2711,0,0],[2712,2,0],[2713,1,-1],[2714,0,0],[2715,0,1],[2716,0,0],[2717,-1,0]]"
244,3,"[[2719,10,17],[2718,15,20],[2718,10,21],[2718,11,21],[2718,11,20],[2718,13,22],[2718,18,27],[2718,18,22],[2718,17,22],[2723,26,12],[79,0,0],[79,0,0],[2720,21,6],[2721,10,1],[2722,13,0],[79,0,0],[2718,7,18],[2718,7,18],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
245,3,"[[2724,-6,12],[2725,25,14],[2725,20,20],[2726,-12,16],[2726,-13,14],[2730,33,8],[2727,5,7],[2727,5,1],[2727,5,1],[2725,26,10],[2728,-30,3],[79,0,0],[2725,20,33],[2729,13,4],[2730,14,12],[2728,-34,-11],[2724,-7,4],[2724,-7,6],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
246,3,"[[2732,0,0],[2733,20,0],[2733,16,0],[2734,20,0],[2734,20,0],[2733,19,0],[2735,26,0],[2733,27,0],[2733,27,0],[2736,0,5],[79,0,0],[79,0,0],[2737,0,3],[2738,0,2],[2739,5,9],[79,0,0],[2740,0,0],[2740,0,0],[2742,5,0],[2741,0,0],[2742,5,0],[2741,0,0],[2743,3,0],[2744,3,0]]"
247,3,"[[2745,3,21],[2746,0,8],[2746,0,10],[2747,1,1],[2747,1,1],[2748,-2,2],[2749,-1,8],[2749,-1,2],[2749,-1,2],[2746,5,-1],[2750,0,0],[79,1,-1],[2751,18,-2],[2752,6,-2],[2753,13,17],[79,0,0],[2754,3,10],[2754,3,9],[2754,-3,9],[2755,-1,3],[2756,-2,2],[2757,2,3],[2758,-2,1],[2759,-2,0]]"
248,4,"[[2760,3,0],[2761,3,0]]"
249,1,"[[2762,0,0],[2763,0,0],[2764,0,0],[2765,0,0],[2766,0,0],[2767,0,0],[2768,0,0],[2769,0,0],[2770,0,0],[2771,0,0],[2772,0,0],[2773,0,0],[2774,0,0],[2775,0,0],[2776,0,0],[2777,0,0],[2778,0,0],[2779,0,0],[2780,0,0],[2781,0,0]]"
250,2,"[[2782,0,0],[2783,0,0],[2784,0,0],[2785,0,0],[2786,0,0],[2787,0,0],[2788,0,0],[2789,0,0],[2790,0,0],[2791,0,0],[2792,0,0],[2793,0,0],[2794,0,0],[2795,0,0],[2796,0,0]]"
251,4,"[[2797,5,3],[2798,5,3]]"
252,1,"[[2799,0,0],[2800,0,0],[2801,0,0],[2802,0,0],[2803,0,0],[2804,0,0],[2805,0,0],[2806,0,0],[2807,0,0],[2808,0,0],[2809,0,0],[2810,0,0],[2811,0,0],[2812,0,0],[2813,0,0],[2814,0,0],[2815,0,0],[2816,0,0],[2817,0,0],[2818,0,0]]"
253,2,"[[2819,0,0],[2820,0,0],[2821,0,0],[2822,0,0],[2823,0,0],[2824,0,0],[2825,0,0],[2826,0,0],[2827,0,0],[2828,0,0],[2829,0,0],[2830,0,0],[2831,0,0],[2832,0,0],[2833,0,0]]"
254,4,"[[2834,0,-1],[2835,0,-1]]"
255,1,"[[2836,0,0],[2837,0,0],[2838,0,0],[2839,0,0],[2840,0,0],[2841,0,0],[2842,0,0],[2843,0,0],[2844,0,0],[2845,0,0],[2846,0,0],[2847,0,0],[2848,0,0],[2849,0,0],[2850,0,0],[2851,0,0],[2852,0,0],[2853,0,0],[2854,0,0],[2855,0,0]]"
256,2,"[[2856,0,0],[2857,0,0],[2858,0,0],[2859,0,0],[2860,0,0],[2861,0,0],[2862,0,0],[2863,0,0],[2864,0,0],[2865,0,0],[2866,0,0],[2867,0,0],[2868,0,0],[2869,0,0],[2870,0,0]]"
257,4,"[[2871,5,9],[2872,5,9]]"
258,1,"[[2873,0,0],[2874,0,0],[2875,0,0],[2876,0,0],[2877,0,0],[2878,0,0],[2879,0,0],[2880,0,0],[2881,0,0],[2882,0,0],[2883,0,0],[2884,0,0],[2885,0,0],[2886,0,0],[2887,0,0],[2888,0,0],[2889,0,0],[2890,0,0],[2891,0,0],[2892,0,0]]"
259,2,"[[2893,1,0],[2894,0,0],[2895,0,0],[2896,0,0],[2897,0,0],[2898,0,0],[2899,0,0],[2900,0,0],[2901,0,0],[2902,0,0],[2903,0,0],[2904,0,0],[2905,0,1],[2906,0,1],[2907,0,0]]"
260,3,"[[2909,10,17],[2908,15,20],[2908,10,21],[2908,11,21],[2908,11,20],[2908,13,22],[2908,18,27],[2908,18,22],[2908,17,22],[2913,26,12],[79,0,0],[79,0,0],[2910,21,6],[2911,10,1],[2912,13,0],[79,0,0],[2908,7,18],[2908,7,18],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
261,3,"[[2914,-5,13],[2915,24,16],[2915,19,21],[2916,-8,16],[2916,-9,16],[2920,33,8],[2917,6,5],[2917,7,-1],[2917,6,-1],[2915,23,11],[2918,14,4],[79,0,0],[2915,18,36],[2919,10,6],[2920,13,11],[79,0,0],[2914,-5,4],[2914,-6,4],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0],[79,0,0]]"
262,3,"[[2922,0,0],[2923,20,0],[2923,16,0],[2924,20,0],[2924,20,0],[2923,19,0],[2925,26,0],[2923,27,0],[2923,27,0],[2926,0,5],[79,13,4],[79,0,0],[2927,0,3],[2928,0,2],[2929,5,9],[79,0,0],[2930,0,0],[2930,0,0],[2932,5,0],[2931,0,0],[2932,5,0],[2931,0,0],[2933,3,0],[2934,3,0]]"
263,3,"[[2935,3,20],[2936,0,8],[2936,0,10],[2937,1,1],[2937,1,1],[2938,-2,2],[2939,-1,8],[2939,-1,2],[2939,-1,2],[2936,5,-1],[2940,0,0],[79,11,0],[2941,18,-1],[2942,8,-2],[2943,12,15],[79,18,4],[2944,3,10],[2944,3,9],[2944,-3,9],[2945,-1,3],[2946,-2,2],[2947,2,3],[2948,-2,1],[2949,-2,0]]"
264,4,"[[2950,3,0],[2951,3,0]]"
265,1,"[[2952,0,0],[2953,0,0],[2954,0,0],[2955,0,0],[2956,0,0],[2957,0,0],[2958,0,0],[2959,0,0],[2960,0,0],[2961,0,0],[2962,0,0],[2963,0,0],[2964,0,0],[2965,0,0],[2966,0,0],[2967,0,0],[2968,0,0],[2969,0,0],[2970,0,0],[2971,0,0]]"
266,2,"[[2972,0,0],[2973,0,0],[2974,0,0],[2975,0,0],[2976,0,0],[2977,0,0],[2978,0,0],[2979,0,0],[2980,0,0],[2981,0,0],[2982,0,0],[2983,0,0],[2984,0,0],[2985,0,0],[2986,0,0]]"
267,4,"[[2987,4,0],[2988,3,1]]"
268,1,"[[2989,0,0],[2990,0,0],[2991,0,0],[2992,0,0],[2993,0,0],[2994,0,0],[2995,0,0],[2996,0,0],[2997,0,0],[2998,0,0],[2999,0,0],[3000,0,0],[3001,0,0],[3002,0,0],[3003,0,0],[3004,0,0],[3005,0,0],[3006,0,0],[3007,0,0],[3008,0,0]]"
269,2,"[[3009,0,0],[3010,0,0],[3011,0,0],[3012,0,0],[3013,0,0],[3014,0,0],[3015,0,0],[3016,0,0],[3017,0,0],[3018,0,0],[3019,0,0],[3020,0,0],[3021,0,0],[3022,0,0],[3023,0,0]]"
270,4,"[[3024,0,0],[3025,0,0]]"
271,1,"[[3026,0,0],[3027,0,0],[3028,0,0],[3029,0,0],[3030,0,0],[3031,0,0],[3032,0,0],[3033,0,0],[3034,0,0],[3035,0,0],[3036,0,0],[3037,0,0],[3038,0,0],[3039,0,0],[3040,0,0],[3041,0,0],[3042,0,0],[3043,0,0],[3044,0,0],[3045,0,0]]"
272,2,"[[3046,1,0],[3047,0,0],[3048,0,0],[3049,0,0],[3050,0,0],[3051,0,0],[3052,0,0],[3053,0,0],[3054,0,0],[3055,0,0],[3056,0,0],[3057,0,0],[3058,0,0],[3059,0,0],[3060,0,0]]"
273,4,"[[3061,3,2],[3062,4,2]]"
274,1,"[[3063,0,0],[3064,0,0],[3065,0,0],[3066,0,0],[3067,0,0],[3068,0,0],[3069,0,0],[3070,0,0],[3071,-1,0],[3072,-1,0],[3073,0,0],[3074,0,0],[3075,0,0],[3076,0,0],[3077,0,0],[3078,0,0],[3079,0,0],[3080,0,0],[3081,0,0],[3082,0,0]]"
275,2,"[[3083,1,0],[3084,0,0],[3085,0,0],[3086,0,0],[3087,0,0],[3088,0,0],[3089,0,0],[3090,0,0],[3091,0,0],[3092,0,0],[3093,0,0],[3094,0,0],[3095,0,1],[3096,0,1],[3097,0,0]]"
276,4,"[[3098,2,0],[3099,2,0]]"
277,1,"[[3100,0,0],[3101,0,0],[3102,0,0],[3103,0,0],[3104,0,0],[3105,0,0],[3106,0,0],[3107,0,0],[3108,0,0],[3109,0,0],[3110,0,0],[3111,0,0],[3112,0,0],[3113,0,0],[3114,0,0],[3115,0,0],[3116,0,0],[3117,0,0],[3118,0,0],[3119,0,0]]"
278,2,"[[3120,1,0],[3121,0,0],[3122,-1,0],[3123,0,0],[3124,0,0],[3125,0,0],[3126,0,0],[3127,1,0],[3128,1,0],[3129,2,0],[3130,1,-1],[3131,0,0],[3132,0,1],[3133,0,0],[3134,0,0]]"
279,1,"[[3135,0,0],[3136,0,0],[3137,0,0],[3138,0,0],[3139,0,0],[3140,0,0],[3141,0,0],[3142,0,0],[3143,0,0],[3144,0,0],[3145,0,0],[3146,0,0],[3147,0,0],[3148,0,0],[3149,0,0],[3150,0,0],[3151,0,0],[3152,0,0],[3153,0,0],[3154,0,0]]"
280,2,"[[3155,1,0],[3156,0,0],[3157,-1,0],[3158,0,0],[3159,0,0],[3160,0,0],[3161,0,0],[3162,0,0],[3163,0,0],[3164,0,0],[3165,0,0],[3166,0,0],[3167,0,1],[3168,0,0],[3169,0,0]]"
281,1,"[[3170,-1,-1],[3171,0,-1],[3172,0,-1],[3173,0,0],[3174,0,-1],[3175,0,-2],[3176,0,-3],[3177,0,-3],[3178,-1,0],[3179,-1,0],[3180,-2,0],[3181,0,-1],[3182,-1,-3],[3183,0,-3],[3184,0,-2],[3185,0,0],[3186,0,-2],[3187,0,0],[3188,0,-2],[3189,0,-2]]"
282,2,"[[3190,2,0],[3191,0,0],[3192,0,0],[3193,0,0],[3194,1,0],[3195,0,0],[3196,0,0],[3197,0,0],[3198,0,0],[3199,1,0],[3200,0,0],[3201,0,0],[3202,0,1],[3203,0,1],[3204,0,0]]"
283,1,"[[3205,-2,-1],[3206,0,-1],[3207,0,-1],[3208,0,0],[3209,0,-1],[3210,0,-2],[3211,0,-3],[3212,0,-3],[3213,0,0],[3214,0,0],[3215,-2,0],[3216,0,-1],[3217,-1,-3],[3218,0,-3],[3219,0,-2],[3220,0,0],[3221,0,-2],[3222,0,0],[3223,0,-2],[3224,0,-2]]"
284,2,"[[3225,0,0],[3226,0,0],[3227,0,0],[3228,0,0],[3229,0,0],[3230,0,0],[3231,0,0],[3232,0,0],[3233,0,0],[3234,0,0],[3235,0,0],[3236,0,0],[3237,0,0],[3238,0,0],[3239,0,0]]"
285,1,"[[3240,0,0],[3241,0,0],[3242,0,0],[3243,0,0],[3244,0,0],[3245,0,0],[3246,0,0],[3247,0,0],[3248,0,0],[3249,0,0],[3250,0,0],[3251,0,0],[3252,0,0],[3253,0,0],[3254,0,0],[3255,0,0],[3256,0,0],[3257,0,0],[3258,0,0],[3259,0,0]]"
286,2,"[[3260,1,0],[3261,0,0],[3262,-1,0],[3263,0,0],[3264,0,0],[3265,0,0],[3266,0,0],[3267,0,0],[3268,0,0],[3269,0,0],[3270,0,0],[3271,0,0],[3272,0,1],[3273,0,0],[3274,0,0]]"
287,4,"[[3275,3,0],[3276,3,0]]"
288,1,"[[3277,0,0],[3278,0,0],[3279,0,0],[3280,0,0],[3281,0,0],[3282,0,0],[3283,0,0],[3284,0,0],[3285,0,0],[3286,0,0],[3287,0,0],[3288,0,0],[3289,0,0],[3290,0,0],[3291,0,0],[3292,0,0],[3293,0,0],[3294,0,0],[3295,0,0],[3296,0,0]]"
289,2,"[[3297,1,0],[3298,0,0],[3299,-1,0],[3300,0,0],[3301,0,0],[3302,0,0],[3303,0,0],[3304,1,0],[3305,1,0],[3306,2,0],[3307,1,-1],[3308,0,0],[3309,0,1],[3310,0,0],[3311,-1,0]]"
290,5,"[[3312,1,0],[3313,2,0]]"
291,1,"[[3314,0,0],[3315,0,0],[3316,0,0],[3317,0,0],[3318,0,0],[3319,0,0],[3320,0,0],[3321,0,0],[3322,-1,0],[3323,-1,0],[3324,0,0],[3325,0,0],[3326,0,0],[3327,0,0],[3328,0,0],[3329,0,0],[3330,0,0],[3331,0,0],[3332,0,0],[3333,0,0]]"
292,2,"[[3334,2,0],[3335,0,0],[3336,0,0],[3337,0,0],[3338,1,0],[3339,0,0],[3340,0,0],[3341,0,0],[3342,0,0],[3343,2,0],[3344,0,0],[3345,0,0],[3346,0,1],[3347,0,1],[3348,0,0]]"
293,4,"[[3349,1,-3],[3350,1,-3]]"
294,1,"[[3351,0,0],[3352,0,0],[3353,0,0],[3354,0,0],[3355,0,0],[3356,0,0],[3357,0,0],[3358,0,0],[3359,-1,0],[3360,-1,0],[3361,0,0],[3362,0,0],[3363,0,0],[3364,0,0],[3365,0,0],[3366,0,0],[3367,0,0],[3368,0,0],[3369,0,0],[3370,0,0]]"
295,2,"[[3371,1,0],[3372,0,0],[3373,0,0],[3374,0,0],[3375,0,0],[3376,0,0],[3377,0,0],[3378,0,0],[3379,0,0],[3380,0,0],[3381,0,0],[3382,0,0],[3383,0,1],[3384,0,0],[3385,0,0]]"
296,4,"[[3386,0,-2],[3387,1,-3]]"
297,1,"[[3388,0,0],[3389,0,0],[3390,0,0],[3391,0,0],[3392,0,0],[3393,0,-1],[3394,0,-2],[3395,0,0],[3396,0,0],[3397,0,0],[3398,0,0],[3399,0,0],[3400,0,-1],[3401,0,-2],[3402,0,0],[3403,0,0],[3404,0,0],[3405,0,0],[3406,0,0],[3407,0,0]]"
298,2,"[[3408,0,0],[3409,1,0],[3410,-2,0],[3411,0,0],[3412,0,0],[3413,0,0],[3414,0,0],[3415,0,0],[3416,0,0],[3417,0,0],[3418,0,0],[3419,0,0],[3420,0,0],[3421,0,0],[3422,-1,0]]"
299,4,"[[3423,1,-3],[3424,1,-3]]"
300,1,"[[3425,0,0],[3426,0,0],[3427,0,0],[3428,0,0],[3429,0,0],[3430,0,0],[3431,0,0],[3432,0,0],[3433,0,0],[3434,0,0],[3435,0,0],[3436,0,0],[3437,0,0],[3438,0,0],[3439,0,0],[3440,0,0],[3441,0,0],[3442,0,0],[3443,0,0],[3444,0,0]]"
301,2,"[[3445,0,0],[3446,0,0],[3447,0,0],[3448,0,0],[3449,0,0],[3450,0,0],[3451,0,0],[3452,0,0],[3453,0,0],[3454,1,0],[3455,0,0],[3456,0,0],[3457,0,0],[3458,0,0],[3459,0,0]]"
302,4,"[[3460,0,-1],[3461,0,-1]]"
303,1,"[[3462,0,0],[3463,0,0],[3464,0,0],[3465,0,0],[3466,0,0],[3467,0,0],[3468,0,0],[3469,0,0],[3470,0,0],[3471,0,0],[3472,0,0],[3473,0,0],[3474,0,0],[3475,0,0],[3476,0,0],[3477,0,0],[3478,0,0],[3479,0,0],[3480,0,0],[3481,0,0]]"
304,2,"[[3482,1,0],[3483,0,0],[3484,-1,0],[3485,0,0],[3486,0,0],[3487,0,0],[3488,0,0],[3489,1,0],[3490,1,0],[3491,2,0],[3492,1,-1],[3493,0,0],[3494,0,1],[3495,0,0],[3496,0,0]]"
305,5,"[[79,3,2],[79,3,2]]"
306,1,"[[3499,-2,-1],[3500,0,0],[3501,0,0],[3502,0,0],[3503,0,0],[3504,0,0],[3505,0,0],[3506,0,0],[3507,0,0],[3508,0,0],[3509,0,0],[3510,0,0],[3511,0,0],[3512,0,0],[3513,0,0],[3514,0,0],[3515,0,0],[3516,0,0],[3517,0,0],[3518,0,0]]"
307,2,"[[3519,1,0],[3520,0,0],[3521,0,0],[3522,0,0],[3523,0,0],[3524,0,0],[3525,0,0],[3526,0,0],[3527,1,0],[3528,1,0],[3529,0,0],[3530,0,0],[3531,0,1],[3532,0,0],[3533,0,0]]"
308,0,"[[3534,-2,-2],[3535,-2,-1],[3536,-2,-2],[3537,-2,-3],[3538,-2,-3]]"
309,1,"[[3539,-1,0],[3540,0,0],[3541,0,0],[3542,-1,0],[3543,-1,0],[3544,-1,0],[3545,0,0],[3546,-1,0],[3547,-2,0],[3548,-2,0],[3549,-2,0],[3550,0,0],[3551,-1,0],[3552,-1,0],[3553,0,0],[3554,0,0],[3555,0,0],[3556,0,0],[3557,0,0],[3558,0,0]]"
310,2,"[[3559,-1,0],[3560,0,0],[3561,0,0],[3562,0,0],[3563,0,0],[3564,0,0],[3565,0,0],[3566,0,0],[3567,0,0],[3568,1,0],[3569,0,0],[3570,0,0],[3571,0,0],[3572,0,0],[3573,0,0]]"
311,4,"[[3574,1,0],[3575,0,0]]"
312,1,"[[3576,-3,-1],[3577,0,-2],[3578,0,-1],[3579,0,0],[3580,0,-2],[3581,0,-2],[3582,0,-3],[3583,0,-2],[3584,0,0],[3585,0,0],[3586,0,0],[3587,0,-1],[3588,0,-2],[3589,0,-2],[3590,0,-2],[3591,0,0],[3592,0,-2],[3593,0,0],[3594,0,-2],[3595,0,-2]]"
313,2,"[[3596,1,0],[3597,0,0],[3598,-1,0],[3599,0,0],[3600,0,0],[3601,0,0],[3602,0,0],[3603,0,0],[3604,0,0],[3605,0,0],[3606,0,0],[3607,0,0],[3608,0,1],[3609,0,0],[3610,0,0]]"
314,5,"[[3611,2,1],[3612,2,1]]"
315,4,"[[3613,4,9],[3614,5,9]]"
316,1,"[[3615,-3,-1],[3616,0,-2],[3617,0,-1],[3618,0,0],[3619,0,-2],[3620,0,-2],[3621,0,-3],[3622,0,-2],[3623,0,0],[3624,0,0],[3625,0,0],[3626,0,-1],[3627,0,-2],[3628,0,-2],[3629,0,-2],[3630,0,0],[3631,0,-2],[3632,0,0],[3633,0,-1],[3634,0,-1]]"
317,2,"[[3635,1,0],[3636,0,0],[3637,-1,0],[3638,0,0],[3639,0,0],[3640,0,0],[3641,0,0],[3642,0,0],[3643,0,0],[3644,0,0],[3645,0,0],[3646,0,0],[3647,0,1],[3648,0,0],[3649,0,0]]"
318,5,"[[3650,2,1],[3651,3,1]]"
319,4,"[[3652,3,2],[3653,3,3]]"
320,1,"[[3654,-3,-1],[3655,0,-2],[3656,0,-1],[3657,0,0],[3658,0,-2],[3659,0,-2],[3660,0,-3],[3661,0,-2],[3662,0,0],[3663,0,0],[3664,0,0],[3665,0,-1],[3666,0,-2],[3667,0,-2],[3668,0,-2],[3669,0,0],[3670,0,-2],[3671,0,0],[3672,0,-2],[3673,0,-2]]"
321,2,"[[3674,1,0],[3675,0,0],[3676,-1,0],[3677,0,0],[3678,0,0],[3679,0,0],[3680,0,0],[3681,0,0],[3682,0,0],[3683,0,0],[3684,0,0],[3685,0,0],[3686,0,1],[3687,0,0],[3688,0,0]]"
322,4,"[[3689,3,-1],[3690,2,0]]"
323,1,"[[3691,0,0],[3692,0,0],[3693,0,0],[3694,0,0],[3695,0,0],[3696,0,0],[3697,0,-3],[3698,0,-3],[3699,0,0],[3700,0,0],[3701,0,0],[3702,0,0],[3703,0,0],[3704,0,0],[3705,0,0],[3706,0,0],[3707,0,0],[3708,0,0],[3709,0,0],[3710,0,0]]"
324,2,"[[3711,1,0],[3712,0,0],[3713,-1,0],[3714,0,0],[3715,0,0],[3716,0,0],[3717,0,0],[3718,1,0],[3719,1,0],[3720,2,0],[3721,1,-1],[3722,0,0],[3723,0,1],[3724,0,0],[3725,-1,0]]"
325,1,"[[3726,0,0],[3727,0,0],[3728,0,0],[3729,0,0],[3730,0,0],[3731,0,0],[3732,0,0],[3733,0,0],[3734,0,0],[3735,0,0],[3736,0,0],[3737,0,0],[3738,0,0],[3739,0,0],[3740,0,0],[3741,0,0],[3742,0,0],[3743,0,0],[3744,0,0],[3745,0,0]]"
326,2,"[[3746,1,0],[3747,0,0],[3748,-1,0],[3749,0,0],[3750,0,0],[3751,0,0],[3752,0,0],[3753,1,0],[3754,1,0],[3755,2,0],[3756,1,0],[3757,0,0],[3758,0,0],[3759,0,0],[3760,0,0]]"
327,1,"[[3761,0,0],[3762,0,0],[3763,0,0],[3764,0,0],[3765,0,0],[3766,0,0],[3767,0,0],[3768,0,0],[3769,0,0],[3770,0,0],[3771,0,0],[3772,0,0],[3773,0,0],[3774,0,0],[3775,0,0],[3776,0,0],[3777,0,0],[3778,0,0],[3779,0,0],[3780,0,0]]"
328,2,"[[3781,1,0],[3782,0,0],[3783,-1,0],[3784,0,0],[3785,0,0],[3786,0,0],[3787,0,0],[3788,0,0],[3789,0,0],[3790,0,0],[3791,0,0],[3792,0,0],[3793,0,0],[3794,0,0],[3795,0,0]]"
329,0,"[[3796,-2,-4],[3797,-2,-4],[3798,-2,-4],[3799,-2,-4],[3800,-1,-4]]"
330,1,"[[3801,0,-2],[3802,0,-2],[3803,0,-2],[3804,0,-2],[3805,0,-2],[3806,0,-2],[3807,0,-2],[3808,0,-2],[3809,-1,-2],[3810,-1,-2],[3811,0,-2],[3812,0,-2],[3813,0,-2],[3814,0,-2],[3815,0,-2],[3816,0,-2],[3817,0,-2],[3818,0,-2],[3819,0,-2],[3820,0,-2]]"
331,2,"[[3821,1,-2],[3822,0,-2],[3823,0,-2],[3824,0,-2],[3825,0,-2],[3826,1,-2],[3827,0,-2],[3828,0,-2],[3829,0,-1],[3830,2,-2],[3831,0,-2],[3832,0,-2],[3833,0,-1],[3834,0,-1],[3835,-1,-2]]"
332,0,"[[3836,-3,-9],[3837,-3,-9],[3838,-3,-9],[3839,-3,-9],[3840,-3,-9]]"
333,1,"[[3841,0,-10],[3842,-2,-7],[3843,-1,-7],[3844,-2,-5],[3845,-2,-7],[3846,-1,-7],[3847,-2,-9],[3848,-2,-8],[3849,-2,-6],[3850,-2,-6],[3851,-3,-5],[3852,-2,-8],[3853,-1,-8],[3854,-1,-8],[3855,-2,-10],[3856,-2,-5],[3857,-2,-8],[3858,-1,-6],[3859,-1,-11],[3860,-1,-11]]"
334,2,"[[3861,-1,-3],[3862,-3,-4],[3863,-2,-3],[3864,0,-2],[3865,-2,-3],[3866,0,-3],[3867,-1,-2],[3868,0,-3],[3869,-2,-3],[3870,-1,-3],[3871,-1,-3],[3872,-2,-4],[3873,-1,-3],[3874,0,-3],[3875,-1,-3]]"
335,4,"[[3876,5,4],[3877,5,5]]"
336,1,"[[3878,0,-1],[3879,0,0],[3880,0,-1],[3881,0,0],[3882,0,0],[3883,0,0],[3884,0,-1],[3885,0,-1],[3886,0,0],[3887,0,0],[3888,0,0],[3889,0,0],[3890,0,-1],[3891,0,-1],[3892,0,0],[3893,0,0],[3894,0,0],[3895,0,0],[3896,0,-1],[3897,0,-1]]"
337,4,"[[3898,4,6],[3899,4,8]]"
338,3,"[[3900,19,17],[3902,-1,11],[3902,-1,13],[3903,24,8],[3903,24,7],[3902,-6,9],[3901,32,13],[3901,32,8],[3901,32,7],[3901,14,1],[3900,1,2],[79,5,7],[3900,13,6],[3904,6,8],[3900,9,23],[79,6,8],[3900,14,13],[3900,14,11],[3901,10,9],[3902,-1,11],[3901,38,9],[3901,32,13],[3902,6,0],[3902,1,5]]"
339,0,"[[3905,0,0],[3906,0,0],[3907,0,0],[3908,0,0],[3909,0,0]]"
340,0,"[[3910,0,0],[3911,0,0],[3912,0,0],[3913,0,-1],[3914,0,0]]"
341,0,"[[3915,-2,-1],[3916,-2,-1],[3917,-2,-1],[3918,-2,-1],[3919,-1,-2]]"
342,1,"[[3920,-3,-6],[3921,-1,-6],[3922,0,-6],[3923,-5,-5],[3924,-3,-4],[3925,-4,-5],[3926,-1,-5],[3927,-1,-4],[3928,-4,-6],[3929,-5,-5],[3930,-4,-6],[3931,-1,-6],[3932,-4,-5],[3933,-5,-6],[3934,-5,-5],[3935,-4,-5],[3936,-5,-5],[3937,-6,-5],[3938,-2,-5],[3939,-3,-5]]"
343,2,"[[3940,-1,0],[3941,0,0],[3942,-1,0],[3943,-1,0],[3944,0,0],[3945,0,0],[3946,0,0],[3947,1,0],[3948,1,0],[3949,2,0],[3950,1,0],[3951,0,0],[3952,0,0],[3953,0,0],[3954,-1,0]]"
344,0,"[[3990,-3,-13],[3991,-2,-12],[3992,-2,-11],[3993,-2,-12],[3994,-2,-10]]"
345,1,"[[3955,-6,-19],[3956,-7,-16],[3957,-7,-17],[3958,-7,-13],[3959,-3,-17],[3960,-7,-16],[3961,-12,-16],[3962,-7,-15],[3963,-4,-12],[3964,-5,-12],[3965,-5,-13],[3966,-5,-15],[3967,-6,-17],[3968,-7,-16],[3969,-7,-17],[3970,-5,-14],[3971,-13,-15],[3972,-12,-13],[3973,-2,-16],[3974,0,-16]]"
346,2,"[[3975,-2,1],[3976,0,-1],[3977,0,0],[3978,0,1],[3979,0,0],[3980,0,-2],[3981,0,-1],[3982,0,0],[3983,6,0],[3984,7,-1],[3985,0,0],[3986,2,1],[3987,0,0],[3988,0,0],[3989,5,-1]]"
347,0,"[[4030,-2,-12],[4031,-1,-14],[4032,-1,-12],[4033,-2,-15],[4034,0,-15]]"
348,1,"[[3995,-8,-15],[3996,-4,-13],[3997,-7,-15],[3998,-6,-8],[3999,-8,-12],[4000,-6,-16],[4001,-11,-14],[4002,-12,-16],[4003,-5,-9],[4004,-5,-10],[4005,-8,-11],[4006,-6,-13],[4007,-6,-17],[4008,-5,-15],[4009,-4,-13],[4010,-2,-11],[4011,-8,-13],[4012,-6,-9],[4013,0,-12],[4014,2,-11]]"
349,2,"[[4015,-3,4],[4016,0,2],[4017,0,3],[4018,0,1],[4019,0,1],[4020,0,2],[4021,0,1],[4022,0,1],[4023,2,2],[4024,1,2],[4025,0,0],[4026,0,0],[4027,0,1],[4028,0,0],[4029,4,1]]"
350,0,"[[4070,-3,-8],[4071,2,-6],[4072,1,-10],[4073,0,-9],[4074,0,-11]]"
351,1,"[[4035,-3,-11],[4036,-2,-9],[4037,-6,-11],[4038,-11,-8],[4039,-6,-11],[4040,-4,-12],[4041,-8,-14],[4042,-2,-15],[4043,-11,-1],[4044,-10,-2],[4045,-6,-7],[4046,-6,-12],[4047,0,-10],[4048,-1,-10],[4049,3,-14],[4050,4,-8],[4051,-8,-12],[4052,-6,-7],[4053,4,-14],[4054,5,-14]]"
352,2,"[[4055,-1,4],[4056,0,2],[4057,-4,4],[4058,-7,4],[4059,-11,3],[4060,-2,3],[4061,-2,2],[4062,1,3],[4063,-1,2],[4064,0,2],[4065,2,0],[4066,3,0],[4067,2,0],[4068,3,0],[4069,1,0]]"
353,0,"[[4110,0,0],[4111,0,1],[4112,1,1],[4113,0,1],[4114,-1,-1]]"
354,1,"[[4075,0,-1],[4076,0,0],[4077,0,-1],[4078,0,0],[4079,0,0],[4080,0,0],[4081,0,0],[4082,-3,0],[4083,-1,0],[4084,-1,0],[4085,0,0],[4086,-1,0],[4087,1,0],[4088,2,0],[4089,0,0],[4090,0,0],[4091,0,0],[4092,0,0],[4093,0,0],[4094,0,0]]"
355,2,"[[4095,1,1],[4096,0,1],[4097,0,1],[4098,0,1],[4099,0,2],[4100,0,1],[4101,0,0],[4102,0,2],[4103,1,1],[4104,1,1],[4105,0,0],[4106,0,0],[4107,2,0],[4108,0,0],[4109,0,1]]"
356,0,"[[4150,-1,-1],[4151,0,0],[4152,-1,0],[4153,1,-1],[4154,0,1]]"
